period,n,close_to_settle_p50_s,close_to_settle_p90_s,expected_exp_to_settle_p50_s
close before 2025-11-01,894,1802.932526,2296.258499,-67146.6602075
close on/after 2025-11-01,7904,1804.642372,1809.6851497999999,-14253690.195689
